feature,nulos,pct_nulos
duracao_mediana_pit_convencional,14,10.0
cobertura_ritmo_pct,8,5.71
ritmo_representativo_pct,8,5.71
composto_mais_utilizado,3,2.14
primeiro_composto,3,2.14
voltas_stint_medio,3,2.14
season,0,0.0
full_name,0,0.0
round,0,0.0
race_key,0,0.0
driver_key,0,0.0
team_key,0,0.0
pilot_race_key,0,0.0
voltas_disponiveis,0,0.0
voltas_analisadas,0,0.0
grid,0,0.0
constructor_name,0,0.0
race_name,0,0.0
qtd_pit_stops,0,0.0
qtd_compostos_distintos,0,0.0
amostra_reduzida,0,0.0
qtd_stints,0,0.0
air_temp_media,0,0.0
track_temp_media,0,0.0
humidity_media,0,0.0
pressure_media,0,0.0
wind_speed_medio,0,0.0
rainfall_ocorreu,0,0.0
vitoria,0,0.0
