feature,nulos,nulos_vencedores,nulos_nao_vencedores,taxa_vitoria_nulos_pct,taxa_vitoria_disponiveis_pct
grid,0,0,0,,5.0
ritmo_representativo_pct,8,0,8,0.0,5.3
voltas_analisadas,0,0,0,,5.0
voltas_disponiveis,0,0,0,,5.0
cobertura_ritmo_pct,8,0,8,0.0,5.3
qtd_pit_stops,0,0,0,,5.0
duracao_mediana_pit_convencional,14,1,13,7.14,4.76
qtd_stints,0,0,0,,5.0
qtd_compostos_distintos,0,0,0,,5.0
voltas_stint_medio,3,0,3,0.0,5.11
air_temp_media,0,0,0,,5.0
track_temp_media,0,0,0,,5.0
humidity_media,0,0,0,,5.0
pressure_media,0,0,0,,5.0
wind_speed_medio,0,0,0,,5.0
primeiro_composto,3,0,3,0.0,5.11
composto_mais_utilizado,3,0,3,0.0,5.11
